IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
104.16.113.129,4,4,0.00,153.14,0.00,LAX,443
104.19.88.86,4,4,0.00,153.19,0.00,SJC,443
172.64.86.164,4,4,0.00,153.20,0.00,SJC,443
172.66.41.120,4,4,0.00,153.20,0.00,SJC,443
104.18.108.162,4,4,0.00,153.21,0.00,SJC,443
104.18.111.184,4,4,0.00,153.21,0.00,SJC,443
104.16.164.12,4,4,0.00,153.21,0.00,SJC,443
104.16.44.162,4,4,0.00,153.27,0.00,SJC,443
104.16.223.195,4,4,0.00,153.28,0.00,SJC,443
104.17.144.122,4,4,0.00,153.29,0.00,SJC,443
162.159.246.26,4,4,0.00,153.31,0.00,LAX,443
198.41.192.13,4,4,0.00,153.35,0.00,SJC,443
104.18.117.90,4,4,0.00,153.40,0.00,LAX,443
104.17.167.56,4,4,0.00,153.42,0.00,SJC,443
104.19.3.172,4,4,0.00,153.45,0.00,SJC,443
104.17.73.77,4,4,0.00,153.48,0.00,SJC,443
104.17.105.160,4,4,0.00,153.52,0.00,SJC,443
104.21.232.136,4,4,0.00,153.53,0.00,LAX,443
104.16.0.168,4,4,0.00,153.56,0.00,SJC,443
104.18.1.153,4,4,0.00,153.56,0.00,SJC,443
104.16.194.25,4,4,0.00,153.59,0.00,SJC,443
104.19.242.199,4,4,0.00,153.60,0.00,LAX,443
104.16.245.171,4,4,0.00,153.64,0.00,SJC,443
104.17.28.31,4,4,0.00,153.65,0.00,SJC,443
104.18.19.99,4,4,0.00,153.65,0.00,LAX,443
104.19.2.192,4,4,0.00,153.66,0.00,SJC,443
172.65.196.246,4,4,0.00,153.68,0.00,SJC,443
